,0,val_loss
97,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 1675, 'act_fn': 'relu', 'learning_rate': 0.3366502519047211}"
98,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4834, 'act_fn': 'relu', 'learning_rate': 0.2986749928686928}"
99,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 529, 'act_fn': 'relu', 'learning_rate': 0.5512178518688969}"
100,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 48, 'act_fn': 'relu', 'learning_rate': 0.1136630136193292}"
101,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 5502, 'act_fn': 'relu', 'learning_rate': 0.09484982266625447}"
102,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 819, 'act_fn': 'relu', 'learning_rate': 0.5454757989399583}"
103,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 35, 'act_fn': 'relu', 'learning_rate': 0.626314466264381}"
104,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4974, 'act_fn': 'relu', 'learning_rate': 0.9364480553649968}"
105,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 5342, 'act_fn': 'relu', 'learning_rate': 0.729714088271178}"
106,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 5503, 'act_fn': 'relu', 'learning_rate': 0.9611811366657497}"
107,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 3255, 'act_fn': 'relu', 'learning_rate': 0.7370850093449026}"
108,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 1062, 'act_fn': 'relu', 'learning_rate': 0.610047985039808}"
109,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 1210, 'act_fn': 'relu', 'learning_rate': 0.5958507505781484}"
110,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4441, 'act_fn': 'relu', 'learning_rate': 0.1329876787915937}"
111,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 132, 'act_fn': 'relu', 'learning_rate': 0.5743460392241329}"
112,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 2189, 'act_fn': 'relu', 'learning_rate': 0.48800839300390003}"
113,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 5513, 'act_fn': 'relu', 'learning_rate': 0.13341831418973343}"
114,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 7485, 'act_fn': 'relu', 'learning_rate': 0.9487937049801687}"
115,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 3551, 'act_fn': 'relu', 'learning_rate': 0.14925365767858945}"
116,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4856, 'act_fn': 'relu', 'learning_rate': 0.521517946661142}"
117,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4303, 'act_fn': 'relu', 'learning_rate': 0.6961002935781978}"
118,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4686, 'act_fn': 'relu', 'learning_rate': 0.9487953426768321}"
119,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 6325, 'act_fn': 'relu', 'learning_rate': 0.630292421198051}"
120,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 4233, 'act_fn': 'relu', 'learning_rate': 0.573386765725101}"
